primary_type,location_description,f0_
OTHER OFFENSE,"SCHOOL, PRIVATE, BUILDING",664
ROBBERY,"SCHOOL, PUBLIC, GROUNDS",663
MOTOR VEHICLE THEFT,CHA PARKING LOT/GROUNDS,661
BATTERY,MEDICAL/DENTAL OFFICE,657
CRIMINAL DAMAGE,VEHICLE-COMMERCIAL,656
HOMICIDE,HOUSE,656
CRIM SEXUAL ASSAULT,SIDEWALK,654
ROBBERY,TAXICAB,651
CRIMINAL DAMAGE,DRUG STORE,650
KIDNAPPING,APARTMENT,650
BURGLARY,MEDICAL/DENTAL OFFICE,649
PUBLIC PEACE VIOLATION,RESIDENCE PORCH/HALLWAY,643
OTHER OFFENSE,BANK,641
NARCOTICS,TAVERN/LIQUOR STORE,638
BATTERY,OTHER COMMERCIAL TRANSPORTATION,638
PUBLIC PEACE VIOLATION,COMMERCIAL / BUSINESS OFFICE,636
THEFT,FIRE STATION,633
INTIMIDATION,APARTMENT,625
DECEPTIVE PRACTICE,PARKING LOT / GARAGE (NON RESIDENTIAL),625
ROBBERY,TAVERN/LIQUOR STORE,618
DECEPTIVE PRACTICE,RESIDENCE PORCH/HALLWAY,615
CRIMINAL DAMAGE,CURRENCY EXCHANGE,613
OTHER OFFENSE,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,610
MOTOR VEHICLE THEFT,RESIDENCE - GARAGE,598
DECEPTIVE PRACTICE,PARK PROPERTY,598
WEAPONS VIOLATION,"SCHOOL, PUBLIC, GROUNDS",597
PROSTITUTION,RESIDENCE,596
THEFT,SCHOOL - PUBLIC BUILDING,593
CRIMINAL DAMAGE,DAY CARE CENTER,589
LIQUOR LAW VIOLATION,PARK PROPERTY,587
ARSON,ALLEY,580
ROBBERY,DRIVEWAY - RESIDENTIAL,576
BATTERY,VEHICLE-COMMERCIAL,576
ARSON,RESIDENCE PORCH/HALLWAY,576
THEFT,LAKEFRONT/WATERFRONT/RIVERBANK,571
ROBBERY,CHA HALLWAY/STAIRWELL/ELEVATOR,569
PUBLIC PEACE VIOLATION,"SCHOOL, PUBLIC, GROUNDS",567
BATTERY,CLEANING STORE,567
OTHER OFFENSE,"SCHOOL, PUBLIC, GROUNDS",566
PUBLIC PEACE VIOLATION,PARKING LOT/GARAGE(NON.RESID.),562
SEX OFFENSE,RESIDENCE PORCH/HALLWAY,557
MOTOR VEHICLE THEFT,VACANT LOT / LAND,554
PUBLIC PEACE VIOLATION,POLICE FACILITY/VEH PARKING LOT,554
LIQUOR LAW VIOLATION,ALLEY,553
PUBLIC PEACE VIOLATION,RESTAURANT,548
NARCOTICS,"SCHOOL, PRIVATE, BUILDING",546
CRIMINAL DAMAGE,OTHER RAILROAD PROP / TRAIN DEPOT,542
SEX OFFENSE,CTA TRAIN,542
THEFT,DAY CARE CENTER,541
MOTOR VEHICLE THEFT,RESIDENCE - YARD (FRONT / BACK),540
GAMBLING,RESIDENCE PORCH/HALLWAY,536
PROSTITUTION,OTHER,536
ASSAULT,FACTORY/MANUFACTURING BUILDING,535
SEX OFFENSE,VEHICLE NON-COMMERCIAL,534
MOTOR VEHICLE THEFT,OTHER (SPECIFY),532
THEFT,AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,531
MOTOR VEHICLE THEFT,PARK PROPERTY,530
ROBBERY,COMMERCIAL / BUSINESS OFFICE,529
DECEPTIVE PRACTICE,AIRPORT VENDING ESTABLISHMENT,528
CRIMINAL TRESPASS,RESIDENCE - YARD (FRONT / BACK),526
OTHER OFFENSE,CHA PARKING LOT/GROUNDS,525
BURGLARY,ALLEY,524
MOTOR VEHICLE THEFT,COMMERCIAL / BUSINESS OFFICE,521
CRIMINAL DAMAGE,SPORTS ARENA/STADIUM,521
NARCOTICS,OTHER RAILROAD PROP / TRAIN DEPOT,520
BATTERY,MOVIE HOUSE/THEATER,520
PUBLIC PEACE VIOLATION,RESIDENTIAL YARD (FRONT/BACK),517
THEFT,AIRPORT BUILDING NON-TERMINAL - SECURE AREA,515
BURGLARY,HOTEL/MOTEL,511
BURGLARY,GAS STATION,509
INTERFERENCE WITH PUBLIC OFFICER,RESIDENCE,508
PUBLIC PEACE VIOLATION,SMALL RETAIL STORE,506
ASSAULT,CURRENCY EXCHANGE,503
CRIMINAL SEXUAL ASSAULT,HOSPITAL BUILDING / GROUNDS,501
THEFT,COIN OPERATED MACHINE,499
ROBBERY,CTA STATION,498
CRIMINAL DAMAGE,"SCHOOL, PRIVATE, GROUNDS",496
OTHER OFFENSE,ABANDONED BUILDING,496
NARCOTICS,PARKING LOT / GARAGE (NON RESIDENTIAL),495
ASSAULT,HOSPITAL BUILDING / GROUNDS,494
CRIMINAL TRESPASS,OTHER COMMERCIAL TRANSPORTATION,493
INTERFERENCE WITH PUBLIC OFFICER,PARKING LOT/GARAGE(NON.RESID.),492
ASSAULT,WAREHOUSE,492
LIQUOR LAW VIOLATION,OTHER,492
OTHER OFFENSE,PARKING LOT / GARAGE (NON RESIDENTIAL),490
BATTERY,COLLEGE/UNIVERSITY GROUNDS,489
DECEPTIVE PRACTICE,WAREHOUSE,488
CRIMINAL TRESPASS,PARKING LOT / GARAGE (NON RESIDENTIAL),487
CRIMINAL TRESPASS,BANK,486
MOTOR VEHICLE THEFT,AIRPORT/AIRCRAFT,484
OTHER OFFENSE,TAVERN/LIQUOR STORE,480
DECEPTIVE PRACTICE,MEDICAL/DENTAL OFFICE,478
INTERFERENCE WITH PUBLIC OFFICER,POLICE FACILITY/VEH PARKING LOT,477
ROBBERY,BARBERSHOP,476
ASSAULT,CTA BUS STOP,475
NARCOTICS,GOVERNMENT BUILDING / PROPERTY,471
CRIM SEXUAL ASSAULT,RESIDENCE PORCH/HALLWAY,469
THEFT,COLLEGE/UNIVERSITY RESIDENCE HALL,469
PUBLIC PEACE VIOLATION,GOVERNMENT BUILDING/PROPERTY,467
CRIMINAL DAMAGE,NURSING HOME/RETIREMENT HOME,466
DECEPTIVE PRACTICE,POLICE FACILITY/VEH PARKING LOT,465
THEFT,TAVERN / LIQUOR STORE,462
DECEPTIVE PRACTICE,BARBERSHOP,460
ASSAULT,AIRPORT/AIRCRAFT,460
CONCEALED CARRY LICENSE VIOLATION,STREET,459
ROBBERY,CURRENCY EXCHANGE,457
BATTERY,ATHLETIC CLUB,455
OFFENSE INVOLVING CHILDREN,CHA APARTMENT,453
MOTOR VEHICLE THEFT,POLICE FACILITY/VEH PARKING LOT,453
DECEPTIVE PRACTICE,NURSING HOME/RETIREMENT HOME,447
BATTERY,CAR WASH,446
BATTERY,DAY CARE CENTER,446
ASSAULT,"SCHOOL, PRIVATE, GROUNDS",444
THEFT,AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA,443
THEFT,CHA HALLWAY/STAIRWELL/ELEVATOR,443
GAMBLING,PARK PROPERTY,437
OTHER OFFENSE,DRIVEWAY - RESIDENTIAL,436
CRIMINAL DAMAGE,CTA BUS STOP,436
CRIMINAL TRESPASS,WAREHOUSE,436
THEFT,AIRPORT PARKING LOT,434
OFFENSE INVOLVING CHILDREN,DAY CARE CENTER,434
LIQUOR LAW VIOLATION,GROCERY FOOD STORE,432
CRIMINAL TRESPASS,"SCHOOL, PRIVATE, GROUNDS",431
GAMBLING,OTHER,431
GAMBLING,TAVERN/LIQUOR STORE,428
DECEPTIVE PRACTICE,ATHLETIC CLUB,427
OTHER OFFENSE,VACANT LOT/LAND,425
CRIMINAL TRESPASS,CURRENCY EXCHANGE,422
OFFENSE INVOLVING CHILDREN,PARKING LOT/GARAGE(NON.RESID.),420
ROBBERY,BAR OR TAVERN,418
DECEPTIVE PRACTICE,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,417
THEFT,SCHOOL - PUBLIC GROUNDS,413
INTERFERENCE WITH PUBLIC OFFICER,VEHICLE NON-COMMERCIAL,413
OFFENSE INVOLVING CHILDREN,RESIDENCE PORCH/HALLWAY,412
THEFT,NURSING / RETIREMENT HOME,410
BATTERY,ABANDONED BUILDING,409
THEFT,AIRCRAFT,408
OTHER OFFENSE,POLICE FACILITY / VEHICLE PARKING LOT,407
CRIM SEXUAL ASSAULT,PARK PROPERTY,405
CRIMINAL DAMAGE,CHA HALLWAY/STAIRWELL/ELEVATOR,404
ROBBERY,CTA GARAGE / OTHER PROPERTY,399
ASSAULT,CLEANING STORE,398
CRIMINAL DAMAGE,CHURCH / SYNAGOGUE / PLACE OF WORSHIP,397
BURGLARY,DRUG STORE,397
LIQUOR LAW VIOLATION,CONVENIENCE STORE,396
PUBLIC PEACE VIOLATION,GAS STATION,394
BATTERY,JAIL / LOCK-UP FACILITY,393
ASSAULT,VACANT LOT/LAND,393
NARCOTICS,CONVENIENCE STORE,392
ASSAULT,DAY CARE CENTER,392
CRIM SEXUAL ASSAULT,HOSPITAL BUILDING/GROUNDS,391
MOTOR VEHICLE THEFT,"SCHOOL, PUBLIC, GROUNDS",389
ROBBERY,CLEANING STORE,388
HOMICIDE,PORCH,387
ASSAULT,CTA GARAGE / OTHER PROPERTY,382
CRIM SEXUAL ASSAULT,ABANDONED BUILDING,374
INTIMIDATION,SIDEWALK,370
NARCOTICS,VACANT LOT / LAND,369
OBSCENITY,RESIDENCE,361
BURGLARY,CAR WASH,361
CRIMINAL SEXUAL ASSAULT,STREET,359
CRIMINAL DAMAGE,TAXICAB,356
DECEPTIVE PRACTICE,CREDIT UNION,356
PUBLIC PEACE VIOLATION,CTA PLATFORM,355
OTHER OFFENSE,FACTORY/MANUFACTURING BUILDING,354
THEFT,VACANT LOT / LAND,354
WEAPONS VIOLATION,AIRPORT/AIRCRAFT,354
MOTOR VEHICLE THEFT,SPORTS ARENA/STADIUM,353
BATTERY,CHA PARKING LOT / GROUNDS,353
INTERFERENCE WITH PUBLIC OFFICER,APARTMENT,353
WEAPONS VIOLATION,CHA APARTMENT,350
CRIMINAL SEXUAL ASSAULT,ALLEY,350
CRIMINAL TRESPASS,FACTORY/MANUFACTURING BUILDING,348
BATTERY,BANK,348
CRIMINAL DAMAGE,COLLEGE/UNIVERSITY GROUNDS,346
STALKING,SIDEWALK,343
THEFT,BOWLING ALLEY,342
CONCEALED CARRY LICENSE VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,342
ROBBERY,CHA APARTMENT,341
CRIMINAL DAMAGE,VACANT LOT / LAND,341
GAMBLING,CHA PARKING LOT/GROUNDS,338
ASSAULT,NURSING / RETIREMENT HOME,337
CRIMINAL DAMAGE,CTA STATION,334
GAMBLING,RESTAURANT,333
BATTERY,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,332
THEFT,AUTO / BOAT / RV DEALERSHIP,329
ASSAULT,HOTEL / MOTEL,328
ASSAULT,CAR WASH,328
CRIMINAL TRESPASS,CTA TRAIN,327
CRIMINAL TRESPASS,NURSING HOME/RETIREMENT HOME,322
ASSAULT,COLLEGE/UNIVERSITY GROUNDS,321
BURGLARY,DAY CARE CENTER,321
BURGLARY,RESIDENTIAL YARD (FRONT/BACK),320
OTHER OFFENSE,DAY CARE CENTER,319
OTHER OFFENSE,WAREHOUSE,319
CRIMINAL DAMAGE,CAR WASH,316
SEX OFFENSE,RESTAURANT,314
OTHER OFFENSE,DRUG STORE,314
DECEPTIVE PRACTICE,VEHICLE-COMMERCIAL,314
CRIMINAL SEXUAL ASSAULT,HOTEL / MOTEL,313
OFFENSE INVOLVING CHILDREN,"SCHOOL, PUBLIC, GROUNDS",312
DECEPTIVE PRACTICE,"SCHOOL, PRIVATE, BUILDING",312
OFFENSE INVOLVING CHILDREN,VEHICLE NON-COMMERCIAL,310
NARCOTICS,CTA STATION,308
DECEPTIVE PRACTICE,HOTEL / MOTEL,306
HOMICIDE,YARD,306
ROBBERY,ATM (AUTOMATIC TELLER MACHINE),304
ASSAULT,CHA PARKING LOT / GROUNDS,303
CRIMINAL TRESPASS,RESIDENCE - PORCH / HALLWAY,302
ARSON,OTHER,301
CRIMINAL DAMAGE,HOTEL / MOTEL,301
THEFT,PAWN SHOP,300
THEFT,BOAT/WATERCRAFT,299
ASSAULT,ATHLETIC CLUB,298
SEX OFFENSE,PARKING LOT/GARAGE(NON.RESID.),296
OTHER OFFENSE,HOSPITAL BUILDING / GROUNDS,295
DECEPTIVE PRACTICE,AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,294
DECEPTIVE PRACTICE,CHA APARTMENT,291
DECEPTIVE PRACTICE,FACTORY/MANUFACTURING BUILDING,291
DECEPTIVE PRACTICE,OTHER COMMERCIAL TRANSPORTATION,290
DECEPTIVE PRACTICE,APPLIANCE STORE,290
LIQUOR LAW VIOLATION,"SCHOOL, PUBLIC, BUILDING",290
BATTERY,CURRENCY EXCHANGE,288
OTHER OFFENSE,SCHOOL - PUBLIC BUILDING,287
CRIMINAL TRESPASS,AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA,286
WEAPONS VIOLATION,CTA PLATFORM,285
CRIMINAL DAMAGE,FIRE STATION,284
ROBBERY,RESIDENCE - YARD (FRONT / BACK),283
SEX OFFENSE,"SCHOOL, PUBLIC, GROUNDS",282
WEAPONS VIOLATION,RESTAURANT,282
NARCOTICS,DRIVEWAY - RESIDENTIAL,281
OTHER OFFENSE,RESIDENCE - YARD (FRONT / BACK),280
LIQUOR LAW VIOLATION,RESIDENCE,280
ROBBERY,CAR WASH,277
SEX OFFENSE,CTA PLATFORM,277
CRIMINAL DAMAGE,AIRPORT PARKING LOT,276
OTHER OFFENSE,COLLEGE/UNIVERSITY GROUNDS,276
THEFT,VEHICLE - COMMERCIAL,274
PUBLIC PEACE VIOLATION,GROCERY FOOD STORE,273
BATTERY,RESIDENCE - GARAGE,271
CRIMINAL TRESPASS,OTHER (SPECIFY),269
CRIM SEXUAL ASSAULT,RESIDENCE-GARAGE,268
CRIMINAL DAMAGE,POLICE FACILITY / VEHICLE PARKING LOT,267
CRIM SEXUAL ASSAULT,CHA APARTMENT,263
SEX OFFENSE,SMALL RETAIL STORE,263
PUBLIC PEACE VIOLATION,HOSPITAL BUILDING/GROUNDS,263
BATTERY,OTHER RAILROAD PROP / TRAIN DEPOT,263
BATTERY,SCHOOL - PRIVATE GROUNDS,262
NARCOTICS,NURSING HOME/RETIREMENT HOME,261
WEAPONS VIOLATION,RESIDENCE - PORCH / HALLWAY,261
BURGLARY,GOVERNMENT BUILDING/PROPERTY,260
BURGLARY,APPLIANCE STORE,260
DECEPTIVE PRACTICE,RESIDENTIAL YARD (FRONT/BACK),259
CRIM SEXUAL ASSAULT,PARKING LOT/GARAGE(NON.RESID.),258
NARCOTICS,COLLEGE/UNIVERSITY RESIDENCE HALL,258
PROSTITUTION,VEHICLE NON-COMMERCIAL,258
CRIM SEXUAL ASSAULT,"SCHOOL, PUBLIC, BUILDING",257
MOTOR VEHICLE THEFT,AIRPORT PARKING LOT,257
CRIMINAL SEXUAL ASSAULT,OTHER (SPECIFY),257
THEFT,AIRPORT EXTERIOR - NON-SECURE AREA,253
OFFENSE INVOLVING CHILDREN,RESTAURANT,251
CRIMINAL DAMAGE,CHA PARKING LOT / GROUNDS,251
SEX OFFENSE,HOSPITAL BUILDING/GROUNDS,250
OFFENSE INVOLVING CHILDREN,HOSPITAL BUILDING/GROUNDS,249
INTERFERENCE WITH PUBLIC OFFICER,PARK PROPERTY,248
MOTOR VEHICLE THEFT,CTA GARAGE / OTHER PROPERTY,247
BATTERY,VACANT LOT / LAND,246
THEFT,VEHICLE - DELIVERY TRUCK,245
CRIMINAL DAMAGE,SCHOOL - PUBLIC BUILDING,245
KIDNAPPING,ALLEY,245
CRIMINAL TRESPASS,HOTEL / MOTEL,244
INTIMIDATION,OTHER,244
WEAPONS VIOLATION,ABANDONED BUILDING,244
HOMICIDE,PARKING LOT,243
ARSON,ABANDONED BUILDING,242
CRIMINAL TRESPASS,MOVIE HOUSE/THEATER,242
NARCOTICS,CTA BUS,242
BURGLARY,CHURCH / SYNAGOGUE / PLACE OF WORSHIP,241
BURGLARY,TAVERN / LIQUOR STORE,241
DECEPTIVE PRACTICE,MOVIE HOUSE/THEATER,240
CRIM SEXUAL ASSAULT,NURSING HOME/RETIREMENT HOME,240
INTIMIDATION,GOVERNMENT BUILDING/PROPERTY,239
CRIMINAL TRESPASS,RESIDENCE - GARAGE,236
DECEPTIVE PRACTICE,CLEANING STORE,235
NARCOTICS,RESIDENCE - YARD (FRONT / BACK),235
PUBLIC PEACE VIOLATION,CHA PARKING LOT/GROUNDS,235
CRIMINAL DAMAGE,ATHLETIC CLUB,235
SEX OFFENSE,NURSING HOME/RETIREMENT HOME,235
PUBLIC PEACE VIOLATION,VEHICLE NON-COMMERCIAL,234
SEX OFFENSE,CTA BUS,233
MOTOR VEHICLE THEFT,HOTEL/MOTEL,232
OFFENSE INVOLVING CHILDREN,PARK PROPERTY,232
BATTERY,CONSTRUCTION SITE,230
INTERFERENCE WITH PUBLIC OFFICER,RESIDENCE PORCH/HALLWAY,228
ASSAULT,TAXICAB,227
DECEPTIVE PRACTICE,COLLEGE/UNIVERSITY GROUNDS,227
OTHER OFFENSE,RESIDENCE - PORCH / HALLWAY,225
BATTERY,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,223
CRIMINAL SEXUAL ASSAULT,VEHICLE NON-COMMERCIAL,218
DECEPTIVE PRACTICE,HOSPITAL BUILDING / GROUNDS,217
OTHER OFFENSE,SCHOOL - PUBLIC GROUNDS,216
NARCOTICS,BAR OR TAVERN,215
CRIMINAL DAMAGE,APPLIANCE STORE,214
ROBBERY,RESIDENCE - PORCH / HALLWAY,214
OTHER OFFENSE,CTA PLATFORM,214
BATTERY,HIGHWAY/EXPRESSWAY,213
WEAPONS VIOLATION,VACANT LOT / LAND,212
BATTERY,POLICE FACILITY / VEHICLE PARKING LOT,212
PROSTITUTION,PARK PROPERTY,212
DECEPTIVE PRACTICE,AIRPORT EXTERIOR - NON-SECURE AREA,211
THEFT,POOL ROOM,211
WEAPONS VIOLATION,CHA PARKING LOT / GROUNDS,211
WEAPONS VIOLATION,SMALL RETAIL STORE,210
THEFT,CHURCH / SYNAGOGUE / PLACE OF WORSHIP,208
INTERFERENCE WITH PUBLIC OFFICER,GAS STATION,208
OFFENSE INVOLVING CHILDREN,ALLEY,207
SEX OFFENSE,HOTEL/MOTEL,207
BURGLARY,PARKING LOT / GARAGE (NON RESIDENTIAL),206
OTHER OFFENSE,CURRENCY EXCHANGE,206
PUBLIC PEACE VIOLATION,DEPARTMENT STORE,206
BURGLARY,RESIDENCE - PORCH / HALLWAY,204
PUBLIC PEACE VIOLATION,AIRPORT/AIRCRAFT,204
CRIMINAL DAMAGE,HIGHWAY/EXPRESSWAY,202
SEX OFFENSE,SCHOOL - PUBLIC BUILDING,202
DECEPTIVE PRACTICE,OTHER RAILROAD PROP / TRAIN DEPOT,202
DECEPTIVE PRACTICE,SPORTS ARENA/STADIUM,201
ASSAULT,TAVERN / LIQUOR STORE,201
THEFT,AIRPORT EXTERIOR - SECURE AREA,200
NARCOTICS,HOSPITAL BUILDING / GROUNDS,200
GAMBLING,RESIDENTIAL YARD (FRONT/BACK),199
CRIMINAL DAMAGE,JAIL / LOCK-UP FACILITY,199
BURGLARY,VEHICLE NON-COMMERCIAL,198
WEAPONS VIOLATION,RESIDENCE-GARAGE,198
PUBLIC PEACE VIOLATION,"SCHOOL, PRIVATE, BUILDING",197
BURGLARY,SIDEWALK,197
ROBBERY,RESIDENCE - GARAGE,197
THEFT,MEDICAL / DENTAL OFFICE,197
LIQUOR LAW VIOLATION,TAVERN / LIQUOR STORE,197
INTERFERENCE WITH PUBLIC OFFICER,OTHER,196
ASSAULT,OTHER COMMERCIAL TRANSPORTATION,196
CRIM SEXUAL ASSAULT,RESIDENTIAL YARD (FRONT/BACK),196
OTHER OFFENSE,POOL ROOM,194
CRIMINAL TRESPASS,CLEANING STORE,194
INTIMIDATION,"SCHOOL, PUBLIC, BUILDING",193
ARSON,"SCHOOL, PUBLIC, BUILDING",193
CRIMINAL DAMAGE,SCHOOL - PUBLIC GROUNDS,193
CRIM SEXUAL ASSAULT,VACANT LOT/LAND,193
STALKING,OTHER,192
BATTERY,LAKEFRONT/WATERFRONT/RIVERBANK,190
BURGLARY,CURRENCY EXCHANGE,188
DECEPTIVE PRACTICE,GOVERNMENT BUILDING / PROPERTY,188
PROSTITUTION,PARKING LOT/GARAGE(NON.RESID.),187
CRIMINAL DAMAGE,HOSPITAL BUILDING / GROUNDS,187
MOTOR VEHICLE THEFT,AUTO / BOAT / RV DEALERSHIP,187
ASSAULT,SPORTS ARENA/STADIUM,186
MOTOR VEHICLE THEFT,HOSPITAL BUILDING/GROUNDS,186
BATTERY,TAVERN / LIQUOR STORE,185
ASSAULT,FEDERAL BUILDING,185
CRIMINAL DAMAGE,CTA PARKING LOT / GARAGE / OTHER PROPERTY,184
DECEPTIVE PRACTICE,AUTO / BOAT / RV DEALERSHIP,184
THEFT,FEDERAL BUILDING,183
NARCOTICS,"SCHOOL, PRIVATE, GROUNDS",183
NARCOTICS,JAIL / LOCK-UP FACILITY,183
CRIMINAL TRESPASS,HOSPITAL BUILDING / GROUNDS,182
NARCOTICS,MEDICAL/DENTAL OFFICE,182
WEAPONS VIOLATION,CHA HALLWAY/STAIRWELL/ELEVATOR,182
BATTERY,AIRPORT EXTERIOR - NON-SECURE AREA,181
MOTOR VEHICLE THEFT,AIRPORT VENDING ESTABLISHMENT,180
DECEPTIVE PRACTICE,POLICE FACILITY / VEHICLE PARKING LOT,179
PUBLIC PEACE VIOLATION,CTA BUS,179
MOTOR VEHICLE THEFT,RESTAURANT,178
BATTERY,AIRCRAFT,177
BATTERY,CHA HALLWAY / STAIRWELL / ELEVATOR,176
SEX OFFENSE,CHA APARTMENT,175
MOTOR VEHICLE THEFT,"SCHOOL, PUBLIC, BUILDING",174
CRIMINAL TRESPASS,MEDICAL/DENTAL OFFICE,174
DECEPTIVE PRACTICE,RESIDENCE-GARAGE,174
THEFT,ANIMAL HOSPITAL,173
ASSAULT,MEDICAL / DENTAL OFFICE,173
NARCOTICS,VEHICLE-COMMERCIAL,173
BATTERY,APPLIANCE STORE,172
BATTERY,BOWLING ALLEY,170
SEX OFFENSE,LIBRARY,169
OFFENSE INVOLVING CHILDREN,"SCHOOL, PRIVATE, BUILDING",167
WEAPONS VIOLATION,GROCERY FOOD STORE,167
BATTERY,SCHOOL - PRIVATE BUILDING,167
BATTERY,CHURCH / SYNAGOGUE / PLACE OF WORSHIP,167
THEFT,GOVERNMENT BUILDING / PROPERTY,167
ROBBERY,ABANDONED BUILDING,167
ROBBERY,OTHER RAILROAD PROP / TRAIN DEPOT,165
PUBLIC PEACE VIOLATION,CTA TRAIN,165
THEFT,AIRPORT VENDING ESTABLISHMENT,164
BATTERY,ANIMAL HOSPITAL,164
ROBBERY,OTHER (SPECIFY),164
SEX OFFENSE,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,163
ASSAULT,GOVERNMENT BUILDING / PROPERTY,162
CRIM SEXUAL ASSAULT,BAR OR TAVERN,162
BATTERY,SPORTS ARENA / STADIUM,161
ASSAULT,CONSTRUCTION SITE,161
INTERFERENCE WITH PUBLIC OFFICER,RESIDENTIAL YARD (FRONT/BACK),161
BATTERY,COLLEGE/UNIVERSITY RESIDENCE HALL,160
OTHER OFFENSE,CTA GARAGE / OTHER PROPERTY,159
BATTERY,COIN OPERATED MACHINE,159
OTHER OFFENSE,GOVERNMENT BUILDING / PROPERTY,158
DECEPTIVE PRACTICE,CHA PARKING LOT/GROUNDS,158
BATTERY,,158
ROBBERY,VEHICLE-COMMERCIAL,158
SEX OFFENSE,RESIDENTIAL YARD (FRONT/BACK),158
CRIMINAL TRESPASS,ATHLETIC CLUB,157
CRIMINAL DAMAGE,COIN OPERATED MACHINE,157
BATTERY,POOL ROOM,157
ASSAULT,RESIDENCE - GARAGE,156
THEFT,POLICE FACILITY / VEHICLE PARKING LOT,156
MOTOR VEHICLE THEFT,GROCERY FOOD STORE,156
CRIMINAL TRESPASS,CTA BUS,155
BATTERY,AUTO / BOAT / RV DEALERSHIP,155
CRIMINAL DAMAGE,MOVIE HOUSE/THEATER,153
DECEPTIVE PRACTICE,AIRPORT PARKING LOT,152
WEAPONS VIOLATION,DRIVEWAY - RESIDENTIAL,152
INTERFERENCE WITH PUBLIC OFFICER,CTA PLATFORM,152
NARCOTICS,HIGHWAY/EXPRESSWAY,152
OTHER OFFENSE,ATHLETIC CLUB,151
ASSAULT,APPLIANCE STORE,151
SEX OFFENSE,COMMERCIAL / BUSINESS OFFICE,151
BURGLARY,NURSING HOME/RETIREMENT HOME,151
SEX OFFENSE,"SCHOOL, PRIVATE, BUILDING",150
CRIMINAL DAMAGE,OTHER COMMERCIAL TRANSPORTATION,150
OBSCENITY,APARTMENT,150
THEFT,CEMETARY,150
OTHER OFFENSE,NURSING / RETIREMENT HOME,150
NARCOTICS,COMMERCIAL / BUSINESS OFFICE,150
NARCOTICS,RESIDENCE - PORCH / HALLWAY,150
KIDNAPPING,OTHER,149
CRIMINAL DAMAGE,ANIMAL HOSPITAL,149
PUBLIC PEACE VIOLATION,BAR OR TAVERN,148
BURGLARY,"SCHOOL, PUBLIC, GROUNDS",147
OFFENSE INVOLVING CHILDREN,GOVERNMENT BUILDING/PROPERTY,147
BATTERY,GOVERNMENT BUILDING / PROPERTY,147
OTHER OFFENSE,"SCHOOL, PRIVATE, GROUNDS",147
NARCOTICS,DEPARTMENT STORE,146
CRIMINAL TRESPASS,CAR WASH,146
WEAPONS VIOLATION,"SCHOOL, PRIVATE, BUILDING",146
ASSAULT,CHA HALLWAY / STAIRWELL / ELEVATOR,146
MOTOR VEHICLE THEFT,SMALL RETAIL STORE,144
OTHER OFFENSE,CTA BUS,143
PUBLIC PEACE VIOLATION,HOTEL/MOTEL,142
WEAPONS VIOLATION,CONVENIENCE STORE,142
THEFT,"VEHICLE - OTHER RIDE SHARE SERVICE (E.G., UBER, LYFT)",142
OTHER OFFENSE,LIBRARY,141
DECEPTIVE PRACTICE,POOL ROOM,140
HOMICIDE,PARK PROPERTY,140
CRIMINAL SEXUAL ASSAULT,SIDEWALK,140
CRIMINAL DAMAGE,GOVERNMENT BUILDING / PROPERTY,139
THEFT,CHA PARKING LOT / GROUNDS,138
CRIMINAL SEXUAL ASSAULT,NURSING / RETIREMENT HOME,138
ARSON,VACANT LOT/LAND,138
BURGLARY,COLLEGE/UNIVERSITY GROUNDS,137
LIQUOR LAW VIOLATION,VEHICLE NON-COMMERCIAL,137
CRIMINAL DAMAGE,MEDICAL / DENTAL OFFICE,136
DECEPTIVE PRACTICE,NURSING / RETIREMENT HOME,136
BURGLARY,CHA PARKING LOT/GROUNDS,135
OTHER OFFENSE,,135
MOTOR VEHICLE THEFT,CAR WASH,134
OFFENSE INVOLVING CHILDREN,POLICE FACILITY / VEHICLE PARKING LOT,134
BURGLARY,AUTO / BOAT / RV DEALERSHIP,133
OTHER OFFENSE,ANIMAL HOSPITAL,133
NARCOTICS,COLLEGE/UNIVERSITY GROUNDS,133
PUBLIC PEACE VIOLATION,AIRCRAFT,132
DECEPTIVE PRACTICE,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,132
DECEPTIVE PRACTICE,LIBRARY,131
HOMICIDE,VACANT LOT,131
BATTERY,MEDICAL / DENTAL OFFICE,131
OTHER OFFENSE,HOTEL / MOTEL,130
DECEPTIVE PRACTICE,"SCHOOL, PUBLIC, GROUNDS",130
BURGLARY,BOAT/WATERCRAFT,130
WEAPONS VIOLATION,CTA TRAIN,130
THEFT,CTA PARKING LOT / GARAGE / OTHER PROPERTY,130
BURGLARY,ATHLETIC CLUB,129
SEX OFFENSE,OTHER (SPECIFY),129
OTHER OFFENSE,CAR WASH,129
LIQUOR LAW VIOLATION,CTA PLATFORM,128
